status	productId	score	productName	matchedTitle	imageUrl	sourceDoc
MATCH	52	100	Vợt cầu lông VNB TC88B chính hãng	Vợt cầu lông VNB TC88B chính hãng	/images/products/catalog/badminton/vot-cau-long/vot-cau-long-vnb-tc88b-chinh-hang.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	53	100	Vợt cầu lông Lining Axforce Cannon Pro Limited 2026 chính hãng	Vợt cầu lông Lining Axforce Cannon Pro Limited 2026 chính hãng	/images/products/catalog/badminton/vot-cau-long/vot-cau-long-lining-axforce-cannon-pro-limited-2026-chinh-hang.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	54	100	Vợt cầu lông Felet Woven Eighty 8 chính hãng	Vợt cầu lông Felet Woven Eighty 8 chính hãng	/images/products/catalog/badminton/vot-cau-long/vot-cau-long-felet-woven-eighty-8-chinh-hang.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	55	100	Vợt Cầu Lông Victor Thruster Ryuga Muse F chính hãng	Vợt Cầu Lông Victor Thruster Ryuga Muse F chính hãng	/images/products/catalog/badminton/vot-cau-long/vot-cau-long-victor-thruster-ryuga-muse-f-chinh-hang.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	56	100	Vợt Cầu Lông Lining Axforce 90 Limited 2026 chính hãng	Vợt Cầu Lông Lining Axforce 90 Limited 2026 chính hãng	/images/products/catalog/badminton/vot-cau-long/vot-cau-long-lining-axforce-90-limited-2026-chinh-hang.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	57	100	Vợt cầu lông Hundred Nuclear 72	Vợt cầu lông Hundred Nuclear 72	/images/products/catalog/badminton/vot-cau-long/vot-cau-long-hundred-nuclear-72.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	58	100	Vợt cầu lông Hundred Hyfonic 7 - Tím xanh lá chính hãng	Vợt cầu lông Hundred Hyfonic 7 - Tím xanh lá chính hãng	/images/products/catalog/badminton/vot-cau-long/vot-cau-long-hundred-hyfonic-7-tim-xanh-la-chinh-hang.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	59	100	Vợt cầu lông Hundred Flareon 700 - Đen cam hồng chính hãng	Vợt cầu lông Hundred Flareon 700 - Đen cam hồng chính hãng	/images/products/catalog/badminton/vot-cau-long/vot-cau-long-hundred-flareon-700-den-cam-hong-chinh-hang.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	60	100	Set Vợt cầu lông VS Kirin 70 Chính Hãng	Set Vợt cầu lông VS Kirin 70 Chính Hãng	/images/products/catalog/badminton/vot-cau-long/set-vot-cau-long-vs-kirin-70-chinh-hang.png	Badminton\vợt cầu lông\vợt cầu lông.docx
MATCH	61	100	Túi đựng phụ kiện Yonex SRFDSB03L - Đỏ	Túi đựng phụ kiện Yonex SRFDSB03L - Đỏ	/images/products/catalog/badminton/phu-kien-cau-long/tui-dung-phu-kien-yonex-srfdsb03l-do.png	Badminton\phu-kien-cau-long\phụ kiện cầu lông.docx
